code,ig_display,loinc_display,loinc_status,overlap,verdict,files
10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,Cancer Ag 125 [Units/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/codesystems/ConceptMap-TWHealthCheckLaboratoryMap.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
103892-6,DBT Brst Screening,DBT Breast screening,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
104905-5,Duration of exposure,Duration of exposure,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/profiles/TWHA-WorkExposure.fsh
10701-1,Ova and parasites [Presence] in Stool by Concentration method,Ova and parasites identified in Stool by Concentration,ACTIVE,0.80,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
10704-5,Ova and parasites [Presence] in Stool by Microscopy,Ova and parasites identified in Stool by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
10834-0,Globulin [Mass/volume] in Serum or Plasma by calculation,Globulin [Mass/volume] in Serum by calculation,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
10835-7,Lipoprotein A [Mass/volume] in Serum or Plasma,Lipoprotein a [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
10886-0,Prostate specific Ag.free [Mass/volume] in Serum or Plasma,Prostate Specific Ag Free [Mass/volume] in Serum or Plasma,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
10909-0,Benzidine [Mass/volume] in Urine,Benzidine [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
10913-2,"4,4'-Methylenebis(2-chloroaniline) [Mass/volume] in Urine","4,4'-Methylene bis(2-Chloroaniline) [Mass/volume] in Urine",ACTIVE,0.75,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
11212-8,Coproporphyrin [Mass/volume] in Urine,Coproporphyrin [Mass/volume] in Urine,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
11215-1,Aminolevulinic acid [Mass/volume] in Urine,Delta aminolevulinate [Mass/volume] in Urine,ACTIVE,0.33,⚠️ 疑似不符（須人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
11218-5,Microalbumin [Mass/volume] in Urine by Test strip,Microalbumin [Mass/volume] in Urine by Test strip,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
11277-1,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,Epithelial cells.squamous [#/area] in Urine sediment by Microscopy high power field,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
11331-6,History of Alcohol use,History of Alcohol use,ACTIVE,1.00,相符,input/fsh/profiles/TWHA-SocialHistory.fsh
