code,class,ig_display,official_display,component_diff,system_diff,property_diff,method_diff,action,replacement_code,rationale,verified_by,verified_date
"5810-7","C","Specific gravity of Urine","Specific gravity of Urine by Refractometry","false","false","false","true","rewrite-display","","","",""
"789-8","C","Erythrocytes [#/volume] in Blood","Erythrocytes [#/volume] in Blood by Automated count","false","false","false","true","rewrite-display","","","",""
"6690-2","C","WBC [#/volume] in Blood","Leukocytes [#/volume] in Blood by Automated count","false","false","false","true","rewrite-display","","","",""
"777-3","C","Platelets [#/volume] in Blood","Platelets [#/volume] in Blood by Automated count","false","false","false","true","rewrite-display","","","",""
"4544-3","C","Hematocrit [Volume Fraction] of Blood","Hematocrit [Volume Fraction] of Blood by Automated count","false","false","false","true","rewrite-display","","","",""
"770-8","A","Neutrophils [Fraction] of WBC","Neutrophils NFr Bld Auto","true","false","true","false","REVIEW","","","",""
"11580-8","C","Thyrotropin [Units/volume] in Serum or Plasma","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L","false","false","false","true","rewrite-display","","","",""
"2324-2","C","Gamma glutamyltransferase [Enzymatic activity/volume] in Serum or Plasma","Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma","false","false","false","false","rewrite-display","","","",""
"2725-0","A","p-Methylhippurate [Mass/volume] in Urine","Para methylhippurate [Mass/volume] in Urine","true","false","false","false","REVIEW","","","",""
"12543-5","A","Methylformamide [Mass/volume] in Urine","Methyl formamide [Mass/volume] in Urine","true","false","false","false","REVIEW","","","",""
"12533-6","A","TTCA [Mass/volume] in Urine","Thiazolidine-2-Thione-4-Carboxylic acid [Mass/volume] in Urine","true","false","false","false","REVIEW","","","",""
"10913-2","A","4,4'-Methylenebis(2-chloroaniline) [Mass/volume] in Urine","4,4'-Methylene bis(2-Chloroaniline) [Mass/volume] in Urine","true","false","false","false","REVIEW","","","",""
"42221-2","B","Manganese [Mass/volume] in Urine","Manganese [Moles/volume] in Urine","false","false","true","false","REVIEW","","","",""
"34304-6","B","Fluoride [Mass/volume] in Urine","Fluoride [Moles/volume] in Urine","false","false","true","false","REVIEW","","","",""
"43371-4","A","Salmonella and Shigella [Presence] in Stool by Culture","Salmonella and Shigella sp identified in Stool by Organism specific culture","true","false","true","true","REVIEW","","","",""
"19177-5","B","Alpha-1-fetoprotein [Mass/volume] in Serum or Plasma","Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma","false","false","true","false","REVIEW","","","",""
"19199-9","A","Prostate specific Ag [Mass/volume] in Serum or Plasma","Prostate specific Ag [Mass/volume] in Semen","false","true","false","false","REVIEW","","","",""
"10886-0","A","Prostate specific Ag.free [Mass/volume] in Serum or Plasma","Prostate Specific Ag Free [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","",""
"97149-9","A","[-2]pro-prostate specific antigen [Mass/volume] in Serum or Plasma","proPSA isoform 2 [Mass/volume] in Serum or Plasma by Immunoassay","true","false","true","true","REVIEW","","","",""
"97150-7","C","Prostate Health Index in Serum or Plasma","Prostate health index in Serum or Plasma by calculation","false","false","false","true","rewrite-display","","","",""
"83083-6","C","Cancer Ag 15-3 [Units/volume] in Serum or Plasma","Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","",""
"9633-9","A","Epstein Barr virus VCA IgA Ab [Presence] in Serum","Epstein Barr virus capsid IgA Ab [Titer] in Serum by Immunofluorescence","true","false","true","true","REVIEW","","","",""
"33762-6","A","Natriuretic peptide.proB-type N-terminal [Mass/volume] in Serum or Plasma","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","",""
"25390-6","C","CYFRA 21-1 [Mass/volume] in Serum or Plasma","Cytokeratin 19 [Mass/volume] in Serum or Plasma","false","false","false","false","rewrite-display","","","",""
"24558-9","A","Ultrasound of abdomen study","US Abdomen","true","false","false","false","REVIEW","","","",""
"13046-8","A","Atypical lymphocytes/100 leukocytes in Blood","Variant lymphocytes/Leukocytes in Blood","true","false","false","false","REVIEW","","","",""
"13047-6","C","Plasma cells/100 leukocytes in Blood","Plasma cells/Leukocytes in Blood","false","false","false","false","rewrite-display","","","",""
"19048-8","A","Erythroblasts/100 leukocytes in Blood by Automated count","Nucleated erythrocytes/Leukocytes [Ratio] in Blood","true","false","true","true","REVIEW","","","",""
"26446-5","C","Blasts/100 leukocytes in Blood","Blasts/Leukocytes in Blood","false","false","false","false","rewrite-display","","","",""
"26450-7","C","Eosinophils/100 leukocytes in Blood by Manual count","Eosinophils/Leukocytes in Blood","false","false","false","true","rewrite-display","","","",""
"26464-8","C","WBC [#/volume] in Blood","Leukocytes [#/volume] in Blood","false","false","false","false","rewrite-display","","","",""
"26478-8","C","Lymphocytes/100 leukocytes in Blood by Manual count","Lymphocytes/Leukocytes in Blood","false","false","false","true","rewrite-display","","","",""
"26485-3","C","Monocytes/100 leukocytes in Blood by Manual count","Monocytes/Leukocytes in Blood","false","false","false","true","rewrite-display","","","",""
"26498-6","C","Myelocytes/100 leukocytes in Blood","Myelocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","",""
"26505-8","A","Hypersegmented neutrophils/100 leukocytes in Blood","Segmented neutrophils/Leukocytes in Blood","true","false","false","false","REVIEW","","","",""
"26508-2","A","Neutrophils/100 leukocytes in Blood by Manual count","Band form neutrophils/Leukocytes in Blood","true","false","false","true","REVIEW","","","",""
"26511-6","A","Neutrophils.segmented/100 leukocytes in Blood","Neutrophils/Leukocytes in Blood","true","false","false","false","REVIEW","","","",""
"26515-7","C","Platelets [#/volume] in Blood by Automated count","Platelets [#/volume] in Blood","false","false","false","true","rewrite-display","","","",""
"26524-9","C","Promyelocytes/100 leukocytes in Blood","Promyelocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","",""
"28539-5","C","MCH [Entitic mass] by Automated count","MCH [Entitic mass]","false","false","false","true","rewrite-display","","","",""
"28541-1","C","Metamyelocytes/100 leukocytes in Blood","Metamyelocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","",""
"30180-4","C","Basophils/100 leukocytes in Blood by Manual count","Basophils/Leukocytes in Blood","false","false","false","true","rewrite-display","","","",""
"30413-9","C","Abnormal lymphocytes/100 leukocytes in Blood","Abnormal lymphocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","",""
"30428-7","A","MCV [Entitic volume] by calculation","MCV [Entitic mean volume] in Red Blood Cells","false","true","true","true","REVIEW","","","",""
"30441-0","A","Abnormal monocytes/100 leukocytes in Blood","Monocytes Abnormal/Leukocytes in Blood","true","false","false","false","REVIEW","","","",""
"30466-7","C","Promonocytes/100 leukocytes in Blood","Promonocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","",""
"34921-7","A","Plasmacytoid lymphocytes/100 leukocytes in Blood","Lymphocytes Plasmacytoid/Leukocytes in Blood","true","false","false","false","REVIEW","","","",""
"5905-5","C","Monocytes/100 leukocytes in Blood by Automated count","Monocytes/Leukocytes in Blood by Automated count","false","false","false","false","rewrite-display","","","",""
"70028-6","A","Megakaryocytes/100 leukocytes in Blood","Megakaryocytic nuclei/Leukocytes in Blood by Manual count","true","false","false","true","REVIEW","","","",""
"706-2","C","Basophils/100 leukocytes in Blood by Automated count","Basophils/Leukocytes in Blood by Automated count","false","false","false","false","rewrite-display","","","",""
"713-8","C","Eosinophils/100 leukocytes in Blood by Automated count","Eosinophils/Leukocytes in Blood by Automated count","false","false","false","false","rewrite-display","","","",""
"786-4","A","MCHC [Mass/volume] by Automated count","MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count","false","true","true","false","REVIEW","","","",""
"787-2","A","MCV [Entitic volume] by Automated count","MCV [Entitic mean volume] in Red Blood Cells by Automated count","false","true","true","false","REVIEW","","","",""
"788-0","A","Erythrocyte distribution width [Ratio] by Automated count","Erythrocyte [DistWidth] in Blood by Automated count","true","true","true","false","REVIEW","","","",""
"804-5","C","WBC [#/volume] in Blood by Manual count","Leukocytes [#/volume] in Blood by Manual count","false","false","false","false","rewrite-display","","","",""
"2428-1","B","Homocysteine [Moles/volume] in Serum or Plasma","Homocysteine [Mass/volume] in Serum or Plasma","false","false","true","false","REVIEW","","","",""
"3084-1","C","Uric acid [Mass/volume] in Serum or Plasma","Urate [Mass/volume] in Serum or Plasma","false","false","false","false","rewrite-display","","","",""
"33863-2","A","Cystatin C [Mass/volume] in Serum, Plasma or Blood","Cystatin C [Mass/volume] in Serum or Plasma","false","true","false","false","REVIEW","","","",""
"33914-3","A","Glomerular filtration rate/1.73 sq M.predicted by MDRD equation","Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M","true","true","true","true","REVIEW","","","",""
"59261-8","A","Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol","Hemoglobin A1c/Hemoglobin.total standardized per IFCC-RMP for CDT in Blood","true","false","false","true","REVIEW","","","",""
"10834-0","A","Globulin [Mass/volume] in Serum or Plasma by calculation","Globulin [Mass/volume] in Serum by calculation","false","true","false","false","REVIEW","","","",""
"14390-9","A","Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by UV with P5P","Amylase [Enzymatic activity/volume] in Dialysis fluid","true","true","false","true","REVIEW","","","",""
"14409-7","A","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by UV with P5P","Aspartate aminotransferase [Enzymatic activity/volume] in Pleural fluid","false","true","false","true","REVIEW","","","",""
"1783-0","A","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma","Alkaline phosphatase [Enzymatic activity/volume] in Blood","false","true","false","false","REVIEW","","","",""
"46986-6","A","Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation","Cholesterol in VLDL 3 [Mass/volume] in Serum or Plasma","false","true","false","true","REVIEW","","","",""
"9830-1","A","Cholesterol/Cholesterol in HDL [Mass Ratio] in Serum or Plasma","Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma","true","false","false","false","REVIEW","","","",""
"3016-3","C","Thyrotropin [Units/volume] in Serum or Plasma by 3rd IS","Thyrotropin [Units/volume] in Serum or Plasma","false","false","false","true","rewrite-display","","","",""
"3026-2","A","Thyroxine (T4) total [Mass/volume] in Serum or Plasma","Thyroxine (T4) [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","",""
"3053-6","A","Triiodothyronine (T3) total [Mass/volume] in Serum or Plasma","Triiodothyronine (T3) [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","",""
"62292-8","A","25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma","25-Hydroxyvitamin D3+25-Hydroxyvitamin D2 [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","",""
"8099-4","A","Thyroid peroxidase Ab [Units/volume] in Serum or Plasma","Thyroperoxidase Ab [Units/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","",""
"13950-1","C","Hepatitis A virus IgM Ab [Presence] in Serum or Plasma","Hepatitis A virus IgM Ab [Presence] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","",""
"13952-7","C","Hepatitis B virus core Ab [Presence] in Serum or Plasma","Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","",""
"17780-8","C","Helicobacter pylori Ag [Presence] in Stool","Helicobacter pylori Ag [Presence] in Stool by Immunoassay","false","false","false","true","rewrite-display","","","",""
"22322-2","B","Hepatitis B virus surface Ab [Units/volume] in Serum","Hepatitis B virus surface Ab [Presence] in Serum","false","false","true","false","REVIEW","","","",""
"31147-2","B","Reagin Ab [Presence] in Serum by RPR -- titer","Reagin Ab [Titer] in Serum by RPR","false","false","true","true","REVIEW","","","",""
"5176-3","B","Helicobacter pylori IgG Ab [Presence] in Serum","Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay","false","false","true","true","REVIEW","","","",""
"51913-2","A","Hepatitis A virus Ab [Presence] in Serum or Plasma","Hepatitis A virus IgG+IgM Ab [Presence] in Serum","true","true","false","false","REVIEW","","","",""
"5193-8","B","Hepatitis B virus surface Ab [Presence] in Serum or Plasma","Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay","false","false","true","true","REVIEW","","","",""
"5334-8","C","Rubella virus IgG Ab [Units/volume] in Serum or Plasma","Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","",""
"5403-1","A","Varicella zoster virus IgG Ab [Units/volume] in Serum or Plasma","Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay","false","true","false","true","REVIEW","","","",""
"56888-1","A","HIV 1 and 2 Ag and Ab panel [Presence] in Serum or Plasma","HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay","true","false","false","true","REVIEW","","","",""
"7962-4","A","Measles virus IgG Ab [Units/volume] in Serum or Plasma","Measles virus IgG Ab [Units/volume] in Serum","false","true","false","false","REVIEW","","","",""
"12453-7","A","Amorphous phosphate crystals [Presence] in Urine sediment","Phosphate crystals amorphous [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","",""
"12454-5","A","Amorphous urate crystals [Presence] in Urine sediment","Urate crystals amorphous [Presence] in Urine sediment by Light microscopy","true","false","false","true","REVIEW","","","",""
