code,class,ig_display,official_display,component_diff,system_diff,property_diff,method_diff,action,replacement_code,rationale,verified_by,verified_date,lookup_display,lookup_component,lookup_property,lookup_system,lookup_scale,lookup_method,lookup_status,lookup_error
"5810-7","C","Specific gravity of Urine","Specific gravity of Urine by Refractometry","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"789-8","C","Erythrocytes [#/volume] in Blood","Erythrocytes [#/volume] in Blood by Automated count","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"6690-2","C","WBC [#/volume] in Blood","Leukocytes [#/volume] in Blood by Automated count","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"777-3","C","Platelets [#/volume] in Blood","Platelets [#/volume] in Blood by Automated count","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"4544-3","C","Hematocrit [Volume Fraction] of Blood","Hematocrit [Volume Fraction] of Blood by Automated count","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"770-8","A","Neutrophils [Fraction] of WBC","Neutrophils NFr Bld Auto","true","false","Fraction","false","REVIEW","","","","","Neutrophils/Leukocytes in Blood by Automated count","LP286655-8","LP6838-9","LP7057-5","LP7753-9","LP6141-8","ACTIVE",""
"11580-8","C","Thyrotropin [Units/volume] in Serum or Plasma","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"2324-2","C","Gamma glutamyltransferase [Enzymatic activity/volume] in Serum or Plasma","Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"2725-0","A","p-Methylhippurate [Mass/volume] in Urine","Para methylhippurate [Mass/volume] in Urine","true","false","false","false","REVIEW","","","","","Para methylhippurate [Mass/volume] in Urine","LP15773-2","LP6827-2","LP7681-2","LP7753-9","","ACTIVE",""
"12543-5","A","Methylformamide [Mass/volume] in Urine","Methyl formamide [Mass/volume] in Urine","true","false","false","false","REVIEW","","","","","Methyl formamide [Mass/volume] in Urine","LP18139-3","LP6827-2","LP7681-2","LP7753-9","","ACTIVE",""
"12533-6","A","TTCA [Mass/volume] in Urine","Thiazolidine-2-Thione-4-Carboxylic acid [Mass/volume] in Urine","true","false","false","false","REVIEW","","","","","Thiazolidine-2-Thione-4-Carboxylic acid [Mass/volume] in Urine","LP18132-8","LP6827-2","LP7681-2","LP7753-9","","ACTIVE",""
"10913-2","A","4,4'-Methylenebis(2-chloroaniline) [Mass/volume] in Urine","4,4'-Methylene bis(2-Chloroaniline) [Mass/volume] in Urine","true","false","false","false","REVIEW","","","","","4,4'-Methylene bis(2-Chloroaniline) [Mass/volume] in Urine","LP34851-3","LP6827-2","LP7681-2","LP7753-9","","ACTIVE",""
"42221-2","B","Manganese [Mass/volume] in Urine","Manganese [Moles/volume] in Urine","false","false","Mass/volume","false","REVIEW","","","","","Manganese [Moles/volume] in Urine","LP16827-5","LP6860-3","LP7681-2","LP7753-9","","ACTIVE",""
"34304-6","B","Fluoride [Mass/volume] in Urine","Fluoride [Moles/volume] in Urine","false","false","Mass/volume","false","REVIEW","","","","","Fluoride [Moles/volume] in Urine","LP16818-4","LP6860-3","LP7681-2","LP7753-9","","ACTIVE",""
"43371-4","A","Salmonella and Shigella [Presence] in Stool by Culture","Salmonella and Shigella sp identified in Stool by Organism specific culture","true","false","Presence","true","REVIEW","","","","","Salmonella and Shigella sp identified in Stool by Organism specific culture","LP36031-0","LP6850-4","LP7604-4","LP7750-5","LP6429-7","ACTIVE",""
"19177-5","B","Alpha-1-fetoprotein [Mass/volume] in Serum or Plasma","Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma","false","false","Mass/volume","false","REVIEW","","","","","Alpha-1-Fetoprotein [Moles/volume] in Serum or Plasma","LP14331-0","LP6860-3","LP7576-4","LP7753-9","","ACTIVE",""
"19199-9","A","Prostate specific Ag [Mass/volume] in Serum or Plasma","Prostate specific Ag [Mass/volume] in Semen","false","Serum or Plasma","false","false","REVIEW","","","","","Prostate specific Ag [Mass/volume] in Semen","LP18193-0","LP6827-2","LP7589-7","LP7753-9","","ACTIVE",""
"10886-0","A","Prostate specific Ag.free [Mass/volume] in Serum or Plasma","Prostate Specific Ag Free [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","","","Prostate Specific Ag Free [Mass/volume] in Serum or Plasma","LP18192-2","LP6827-2","LP7576-4","LP7753-9","","ACTIVE",""
"97149-9","A","[-2]pro-prostate specific antigen [Mass/volume] in Serum or Plasma","proPSA isoform 2 [Mass/volume] in Serum or Plasma by Immunoassay","true","false","-2","true","REVIEW","","","","","proPSA isoform 2 [Mass/volume] in Serum or Plasma by Immunoassay","LP422240-4","LP6827-2","LP7576-4","LP7753-9","LP217197-5","ACTIVE",""
"97150-7","C","Prostate Health Index in Serum or Plasma","Prostate health index in Serum or Plasma by calculation","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"83083-6","C","Cancer Ag 15-3 [Units/volume] in Serum or Plasma","Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"9633-9","A","Epstein Barr virus VCA IgA Ab [Presence] in Serum","Epstein Barr virus capsid IgA Ab [Titer] in Serum by Immunofluorescence","true","false","Presence","true","REVIEW","","","","","Epstein Barr virus capsid IgA Ab [Titer] in Serum by Immunofluorescence","LP38069-8","LP6881-9","LP7567-3","LP436123-6","LP6323-2","ACTIVE",""
"33762-6","A","Natriuretic peptide.proB-type N-terminal [Mass/volume] in Serum or Plasma","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma","true","false","false","false","REVIEW","","","","","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma","LP31268-3","LP6827-2","LP7576-4","LP7753-9","","ACTIVE",""
"25390-6","C","CYFRA 21-1 [Mass/volume] in Serum or Plasma","Cytokeratin 19 [Mass/volume] in Serum or Plasma","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"24558-9","A","Ultrasound of abdomen study","US Abdomen","true","false","false","false","REVIEW","","","","","US Abdomen","LP33405-9","LP6813-2","LP6990-8","LP32888-7","LP6572-4","ACTIVE",""
"13046-8","A","Atypical lymphocytes/100 leukocytes in Blood","Variant lymphocytes/Leukocytes in Blood","true","false","false","false","REVIEW","","","","","Variant lymphocytes/Leukocytes in Blood","LP286446-2","LP6838-9","LP7057-5","LP7753-9","","ACTIVE",""
"13047-6","C","Plasma cells/100 leukocytes in Blood","Plasma cells/Leukocytes in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"19048-8","A","Erythroblasts/100 leukocytes in Blood by Automated count","Nucleated erythrocytes/Leukocytes [Ratio] in Blood","true","false","Ratio","true","REVIEW","","","","","Nucleated erythrocytes/Leukocytes [Ratio] in Blood","LP445410-6","LP6852-0","LP7057-5","LP7753-9","","ACTIVE",""
"26446-5","C","Blasts/100 leukocytes in Blood","Blasts/Leukocytes in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"26450-7","C","Eosinophils/100 leukocytes in Blood by Manual count","Eosinophils/Leukocytes in Blood","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"26464-8","C","WBC [#/volume] in Blood","Leukocytes [#/volume] in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"26478-8","C","Lymphocytes/100 leukocytes in Blood by Manual count","Lymphocytes/Leukocytes in Blood","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"26485-3","C","Monocytes/100 leukocytes in Blood by Manual count","Monocytes/Leukocytes in Blood","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"26498-6","C","Myelocytes/100 leukocytes in Blood","Myelocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"26505-8","A","Hypersegmented neutrophils/100 leukocytes in Blood","Segmented neutrophils/Leukocytes in Blood","true","false","false","false","REVIEW","","","","","Segmented neutrophils/Leukocytes in Blood","LP286651-7","LP6838-9","LP7057-5","LP7753-9","","ACTIVE",""
"26508-2","A","Neutrophils/100 leukocytes in Blood by Manual count","Band form neutrophils/Leukocytes in Blood","true","false","false","true","REVIEW","","","","","Band form neutrophils/Leukocytes in Blood","LP286645-9","LP6838-9","LP7057-5","LP7753-9","","ACTIVE",""
"26511-6","A","Neutrophils.segmented/100 leukocytes in Blood","Neutrophils/Leukocytes in Blood","true","false","false","false","REVIEW","","","","","Neutrophils/Leukocytes in Blood","LP286655-8","LP6838-9","LP7057-5","LP7753-9","","ACTIVE",""
"26515-7","C","Platelets [#/volume] in Blood by Automated count","Platelets [#/volume] in Blood","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"26524-9","C","Promyelocytes/100 leukocytes in Blood","Promyelocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"28539-5","C","MCH [Entitic mass] by Automated count","MCH [Entitic mass]","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"28541-1","C","Metamyelocytes/100 leukocytes in Blood","Metamyelocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"30180-4","C","Basophils/100 leukocytes in Blood by Manual count","Basophils/Leukocytes in Blood","false","false","false","true","rewrite-display","","","","","","","","","","","",""
"30413-9","C","Abnormal lymphocytes/100 leukocytes in Blood","Abnormal lymphocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"30428-7","A","MCV [Entitic volume] by calculation","MCV [Entitic mean volume] in Red Blood Cells","false","Red Blood Cells","Entitic volume","true","REVIEW","","","","","MCV [Entitic mean volume] in Red Blood Cells","LP442509-8","LP443407-4","LP7536-8","LP7753-9","","ACTIVE",""
"30441-0","A","Abnormal monocytes/100 leukocytes in Blood","Monocytes Abnormal/Leukocytes in Blood","true","false","false","false","REVIEW","","","","","Monocytes Abnormal/Leukocytes in Blood","LP445472-6","LP6838-9","LP7057-5","LP7753-9","","ACTIVE",""
"30466-7","C","Promonocytes/100 leukocytes in Blood","Promonocytes/Leukocytes in Blood","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"34921-7","A","Plasmacytoid lymphocytes/100 leukocytes in Blood","Lymphocytes Plasmacytoid/Leukocytes in Blood","true","false","false","false","REVIEW","","","","","Lymphocytes Plasmacytoid/Leukocytes in Blood","LP445448-6","LP6838-9","LP7057-5","LP7753-9","","ACTIVE",""
"5905-5","C","Monocytes/100 leukocytes in Blood by Automated count","Monocytes/Leukocytes in Blood by Automated count","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"70028-6","A","Megakaryocytes/100 leukocytes in Blood","Megakaryocytic nuclei/Leukocytes in Blood by Manual count","true","false","false","true","REVIEW","","","","","Megakaryocytic nuclei/Leukocytes in Blood by Manual count","LP445462-7","LP6838-9","LP7057-5","LP7753-9","LP6377-8","ACTIVE",""
"706-2","C","Basophils/100 leukocytes in Blood by Automated count","Basophils/Leukocytes in Blood by Automated count","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"713-8","C","Eosinophils/100 leukocytes in Blood by Automated count","Eosinophils/Leukocytes in Blood by Automated count","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"786-4","A","MCHC [Mass/volume] by Automated count","MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count","false","Red Blood Cells","Mass/volume","false","REVIEW","","","","","MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count","LP14449-0","LP443404-1","LP7536-8","LP7753-9","LP6141-8","ACTIVE",""
"787-2","A","MCV [Entitic volume] by Automated count","MCV [Entitic mean volume] in Red Blood Cells by Automated count","false","Red Blood Cells","Entitic volume","false","REVIEW","","","","","MCV [Entitic mean volume] in Red Blood Cells by Automated count","LP442509-8","LP443407-4","LP7536-8","LP7753-9","LP6141-8","ACTIVE",""
"788-0","A","Erythrocyte distribution width [Ratio] by Automated count","Erythrocyte [DistWidth] in Blood by Automated count","true","Blood","Ratio","false","REVIEW","","","","","Erythrocyte [DistWidth] in Blood by Automated count","LP16699-8","LP443406-6","LP7057-5","LP7753-9","LP6141-8","ACTIVE",""
"804-5","C","WBC [#/volume] in Blood by Manual count","Leukocytes [#/volume] in Blood by Manual count","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"2428-1","B","Homocysteine [Moles/volume] in Serum or Plasma","Homocysteine [Mass/volume] in Serum or Plasma","false","false","Moles/volume","false","REVIEW","","","","","Homocysteine [Mass/volume] in Serum or Plasma","LP14977-0","LP6827-2","LP7576-4","LP7753-9","","ACTIVE",""
"3084-1","C","Uric acid [Mass/volume] in Serum or Plasma","Urate [Mass/volume] in Serum or Plasma","false","false","false","false","rewrite-display","","","","","","","","","","","",""
"33863-2","A","Cystatin C [Mass/volume] in Serum, Plasma or Blood","Cystatin C [Mass/volume] in Serum or Plasma","false","Serum"," Plasma or Blood","false","false","REVIEW","","","","","Cystatin C [Mass/volume] in Serum or Plasma","LP31553-8","LP6827-2","LP7576-4","LP7753-9","","ACTIVE",""
