loinc,display,component,component_display,property,property_display,time,time_display,system,system_display,scale,scale_display,method,method_display,class,status,source,fetched_at
10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,LP14543-0,Cancer Ag 125,LP6773-8,ACnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
11580-8,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,LP14487-0,Thyrotropin,LP6773-8,ACnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP6223-4,Detection limit <= 0.005 mIU/L,LP7786-9,ACTIVE,tx $lookup,2026-08-22
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,LP15491-1,Cholesterol.in LDL,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP6165-7,Calculated,LP7786-9,ACTIVE,tx $lookup,2026-08-22
13955-0,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay,LP38332-0,Hepatitis C virus Ab,LP217195-9,PrThr,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7751-3,Ord,LP217197-5,IA,LP7819-8,ACTIVE,tx $lookup,2026-08-22
1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,LP306098-7,Glucose^post CFst,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP234174-3,ACTIVE,tx $lookup,2026-08-22
16128-1,Hepatitis C virus Ab [Presence] in Serum,LP38332-0,Hepatitis C virus Ab,LP217195-9,PrThr,LP6960-1,Pt,LP7567-3,Ser,LP7751-3,Ord,,,LP7819-8,ACTIVE,tx $lookup,2026-08-22
1644-4,Triglyceride [Mass/volume] in Serum or Plasma --12 hours fasting,LP307199-2,Triglyceride^post 12H CFst,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7784-4,ACTIVE,tx $lookup,2026-08-22
1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LP15333-5,Alanine aminotransferase,LP6789-4,CCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,LP15333-5,Alanine aminotransferase,LP6789-4,CCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP6762-1,With P-5'-P,LP7786-9,ACTIVE,tx $lookup,2026-08-22
1744-2,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P,LP15333-5,Alanine aminotransferase,LP6789-4,CCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP264591-1,No addition of P-5'-P,LP7786-9,ACTIVE,tx $lookup,2026-08-22
18262-6,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay,LP15491-1,Cholesterol.in LDL,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP6230-9,Direct assay,LP7786-9,ACTIVE,tx $lookup,2026-08-22
1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LP15426-7,Aspartate aminotransferase,LP6789-4,CCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
19868-9,Forced vital capacity [Volume] Respiratory system by Spirometry,LP72220-4,Forced vital capacity,LP6893-4,Vol,LP6960-1,Pt,LP7556-6,Respiratory system,LP7753-9,Qn,LP6527-8,Spirometry,LP7840-4,ACTIVE,tx $lookup,2026-08-22
19876-2,Forced vital capacity [Volume] Respiratory system by Spirometry --pre bronchodilation,LP308832-7,Forced vital capacity^pre bronchodilation,LP6893-4,Vol,LP6960-1,Pt,LP7556-6,Respiratory system,LP7753-9,Qn,LP6527-8,Spirometry,LP7840-4,ACTIVE,tx $lookup,2026-08-22
2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,LP28643-2,Carcinoembryonic Ag,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
20454-5,Protein [Presence] in Urine by Test strip,LP15838-3,Protein,LP217195-9,PrThr,LP6960-1,Pt,LP7681-2,Urine,LP7751-3,Ord,LP6548-4,Test strip,LP7851-1,ACTIVE,tx $lookup,2026-08-22
2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,LP15491-1,Cholesterol.in LDL,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,LP15493-7,Cholesterol,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
2160-0,Creatinine [Mass/volume] in Serum or Plasma,LP14355-9,Creatinine,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
2339-0,Glucose [Mass/volume] in Blood,LP14635-4,Glucose,LP6827-2,MCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
2345-7,Glucose [Mass/volume] in Serum or Plasma,LP14635-4,Glucose,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
23749-5,Lead [Mass/volume] in Specimen,LP14259-3,Lead,LP6827-2,MCnc,LP6960-1,Pt,LP7735-6,XXX,LP7753-9,Qn,,,LP7790-1,ACTIVE,tx $lookup,2026-08-22
2571-8,Triglyceride [Mass/volume] in Serum or Plasma,LP15275-8,Triglyceride,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
26464-8,Leukocytes [#/volume] in Blood,LP14419-3,Leukocytes,LP6836-3,NCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
26508-2,Band form neutrophils/Leukocytes in Blood,LP286645-9,Neutrophils.band form/leukocytes,LP6838-9,NFr,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
26515-7,Platelets [#/volume] in Blood,LP14597-6,Platelets,LP6836-3,NCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
28539-5,MCH [Entitic mass],LP14449-0,Hemoglobin,LP6809-0,EntMass,LP6960-1,Pt,LP7536-8,RBC,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
2887-8,Protein [Presence] in Urine,LP15838-3,Protein,LP217195-9,PrThr,LP6960-1,Pt,LP7681-2,Urine,LP7751-3,Ord,,,LP7851-1,ACTIVE,tx $lookup,2026-08-22
29463-7,Body weight,LP65139-5,Body weight,LP6826-4,Mass,LP6960-1,Pt,LP310005-6,^Patient,LP7753-9,Qn,,,LP7774-5,ACTIVE,tx $lookup,2026-08-22
3016-3,Thyrotropin [Units/volume] in Serum or Plasma,LP14487-0,Thyrotropin,LP6773-8,ACnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
30239-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,LP15426-7,Aspartate aminotransferase,LP6789-4,CCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,LP6762-1,With P-5'-P,LP7786-9,ACTIVE,tx $lookup,2026-08-22
30428-7,MCV [Entitic mean volume] in Red Blood Cells,LP442509-8,Observation,LP443407-4,EntMeanVol,LP6960-1,Pt,LP7536-8,RBC,LP7753-9,Qn,,,LP7803-2,ACTIVE,tx $lookup,2026-08-22
3043-7,Triglyceride [Mass/volume] in Blood,LP15275-8,Triglyceride,LP6827-2,MCnc,LP6960-1,Pt,LP7057-5,Bld,LP7753-9,Qn,,,LP7786-9,ACTIVE,tx $lookup,2026-08-22
3048-6,Triglyceride [Mass/volume] in Serum or Plasma --fasting,LP307200-8,Triglyceride^post CFst,LP6827-2,MCnc,LP6960-1,Pt,LP7576-4,Ser/Plas,LP7753-9,Qn,,,LP7784-4,ACTIVE,tx $lookup,2026-08-22
