axis,code_a,code_b,outcome,a_has_parent,b_has_child,source,fetched_at
__control_self__,LP6377-8,LP6377-8,equivalent,,,tx $subsumes,2026-08-22
component,LP14635-4,LP306098-7,not-subsumed,yes,no,tx $subsumes,2026-08-22
component,LP286645-9,LP286655-8,not-subsumed,yes,yes,tx $subsumes,2026-08-22
component,LP307199-2,LP15275-8,unknown,no,yes,tx $subsumes,2026-08-22
component,LP307200-8,LP15275-8,unknown,no,yes,tx $subsumes,2026-08-22
component,LP308832-7,LP72220-4,unknown,no,yes,tx $subsumes,2026-08-22
component,LP448339-4,LP286151-8,unknown,no,no,tx $subsumes,2026-08-22
component,LP72247-7,LP72252-7,not-subsumed,yes,yes,tx $subsumes,2026-08-22
component,LP95314-8,LP72252-7,unknown,no,yes,tx $subsumes,2026-08-22
method,LP443418-1,LP443424-9,unknown,no,no,tx $subsumes,2026-08-22
method,LP6141-8,LP70259-4,unknown,no,no,tx $subsumes,2026-08-22
method,LP6377-8,LP6141-8,unknown,no,no,tx $subsumes,2026-08-22
method,LP65527-1,LP6548-4,unknown,no,no,tx $subsumes,2026-08-22
method,LP6572-4,LP6543-5,unknown,no,no,tx $subsumes,2026-08-22
method,LP95336-1,LP6543-5,unknown,no,no,tx $subsumes,2026-08-22
method,LP95354-4,LP6543-5,unknown,no,no,tx $subsumes,2026-08-22
property,LP217195-9,LP6827-2,unknown,no,no,tx $subsumes,2026-08-22
property,LP33032-1,LP6827-2,unknown,no,no,tx $subsumes,2026-08-22
property,LP6769-6,LP6822-3,unknown,no,no,tx $subsumes,2026-08-22
property,LP6773-8,LP217195-9,unknown,no,no,tx $subsumes,2026-08-22
property,LP6835-5,LP6836-3,unknown,no,no,tx $subsumes,2026-08-22
property,LP6866-0,LP6831-4,unknown,no,no,tx $subsumes,2026-08-22
scale,LP7747-1,LP7753-9,unknown,no,no,tx $subsumes,2026-08-22
scale,LP7751-3,LP436123-6,unknown,no,no,tx $subsumes,2026-08-22
scale,LP7753-9,LP7751-3,unknown,no,no,tx $subsumes,2026-08-22
system,LP310005-6,LP6991-6,unknown,no,no,tx $subsumes,2026-08-22
system,LP7057-5,LP7073-2,unknown,no,no,tx $subsumes,2026-08-22
system,LP7057-5,LP7576-4,unknown,no,no,tx $subsumes,2026-08-22
system,LP7567-3,LP7576-4,unknown,no,no,tx $subsumes,2026-08-22
system,LP7576-4,LP7579-8,unknown,no,no,tx $subsumes,2026-08-22
system,LP7690-3,LP7681-2,unknown,no,no,tx $subsumes,2026-08-22
system,LP7735-6,LP7073-2,not-subsumed,yes,no,tx $subsumes,2026-08-22
