Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-mohw.tw.twha.json	66517	-	0	0	0	0	0	0	42	114	0	0	0	0	0	0	0	1	0	0	0	422	326	0	0	0	0	14	0	5
fsh-generated/resources/Bundle-UC-001.json	18827	10	51	0	2	0	0	0	5	1130	0	0	0	0	0	0	0	0	0	0	0	102	131	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC-002.json	29326	4	5	0	0	0	0	0	3	61	0	0	0	0	0	0	0	0	0	0	0	130	183	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC-003.json	19257	4	8	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	88	103	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-UC-004.json	16761	5	2	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	107	118	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC-005.json	23543	4	16	0	0	0	0	0	2	71	0	0	0	0	0	0	0	1	0	0	0	259	143	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC-006.json	10232	2	17	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	65	82	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-UC-007.json	16971	1	2	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	88	90	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-TWHA-CapabilityStatement.json	1125	2	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	28	67	0	0	0	1	1	0	0
fsh-generated/resources/ClinicalImpression-example-clinical-impression.json	899	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	14	40	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CS-Appendix10Operation.json	4486	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	36	166	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CS-ExamType.json	1219	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	18	133	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CS-FitnessForWork.json	1332	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	18	116	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CS-HazardType.json	2797	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	26	110	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CS-HealthCounseling.json	2327	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	23	124	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CS-HealthMgmtLevel.json	1530	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	114	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CS-LaborReportCode.json	1473	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	21	105	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CS-OrganicSolventType.json	1006	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	19	112	0	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-CS-PhysicalExamSystems.json	1557	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	20	97	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CS-ServiceActivityType.json	2159	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	23	102	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CS-SmokingStatus.json	936	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	18	102	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CS-SpecificChemicalType.json	1236	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21	91	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-sf-BetNutChewAmount-codesystem.json	6463	1	0	0	1	0	0	0	3	10	0	0	0	0	1	0	0	0	0	0	0	57	116	0	0	0	0	1	0	0
