category,item_name_zh,item_name_en,loinc_preferred,loinc_acceptable,snomed_ct,snomed_display,snomed_status,ucum_unit,regulatory_ref
血液學,白血球計數,WBC Count,6690-2,"{804-5, 26464-8}",767002,White blood cell count (procedure),待覆核,10*3/uL,附表九 CBC
血液學,血紅素,Hemoglobin,718-7,,38082009,Hemoglobin (substance),待覆核,g/dL,附表九
血液學,血小板,Platelet Count,777-3,{26515-7},61928009,Platelet count (procedure),待覆核,10*3/uL,附表九
血液學,平均紅血球體積 MCV,MCV,787-2,{30428-7},104133003,Mean corpuscular volume determination (procedure),待覆核,fL,附表九
血液學,平均紅血球血紅素 MCH,MCH,785-6,{28539-5},85505000,Mean corpuscular hemoglobin (observable entity),待覆核,pg,附表九
血液學,平均紅血球血紅素濃度 MCHC,MCHC,786-4,,37254006,Mean corpuscular hemoglobin concentration determination (procedure),待覆核,g/dL,附表九
血液學,嗜中性球百分比,Neutrophil %,770-8,{26508-2},271036002,Neutrophil percent differential count (observable entity),待覆核,%,附表九
生化/腎功能,空腹血糖,Fasting Glucose,1558-6,{2339-0},33747003,Fasting blood glucose measurement (procedure),待覆核,mg/dL,附表九/成健
生化/腎功能,肌酸酐,Creatinine,2160-0,{38483-4},15373003,Creatinine measurement (procedure),待覆核,mg/dL,附表九
生化/腎功能,腎絲球過濾率 eGFR,eGFR (CKD-EPI 2021),98979-8,{33914-3},80274001,Glomerular filtration rate (observable entity),待覆核,mL/min/{1.73_m2},成健
生化/腎功能,尿酸,Uric Acid,3084-1,(-確定無合適碼),86228006,Uric acid measurement (procedure),待覆核,mg/dL,附表九
肝功能,麩草酸轉胺酶 AST,AST (GOT),1920-8,{30239-8;88112-8},45896001,Aspartate aminotransferase measurement (procedure),待覆核,U/L,附表九/成健
肝功能,麩丙酮酸轉胺酶 ALT,ALT (GPT),1742-6,{1743-4;1744-2},34608000,Alanine aminotransferase measurement (procedure),待覆核,U/L,附表九/成健
肝功能,鹼性磷酸酶 ALP,Alkaline Phosphatase,6768-6,(-確定無合適碼),88810008,Alkaline phosphatase measurement (procedure),待覆核,U/L,附表九
脂質,總膽固醇,Total Cholesterol,2093-3,{35200-5},77068002,Cholesterol measurement (procedure),待覆核,mg/dL,成健
脂質,三酸甘油酯,Triglycerides,2571-8,{3043-7;3048-6},14740000,Triglyceride measurement (procedure),待覆核,mg/dL,成健
脂質,高密度脂蛋白膽固醇 HDL-C,HDL Cholesterol,2085-9,(-確定無合適碼),17888004,High density lipoprotein measurement (procedure),待覆核,mg/dL,成健
脂質,低密度脂蛋白膽固醇 LDL-C (方法通用),LDL Cholesterol (method-unspecified),2089-1,{13457-7;18262-6},113079009,Low density lipoprotein measurement (procedure),待覆核,mg/dL,成健
內分泌,糖化血色素 HbA1c (NGSP),HbA1c (NGSP %),4548-4,{59261-8},43396009,Hemoglobin A1c measurement (procedure),待覆核,%,成健/進階
內分泌,甲狀腺刺激素 TSH,Thyroid-stimulating hormone,11580-8,{3016-3},61167004,Measurement of thyroid stimulating hormone (procedure),待覆核,mIU/L,進階
癌症標記,前列腺特異性抗原 PSA,Prostate Specific Antigen,2857-1,(-確定無合適碼),63476009,Prostate specific antigen measurement (procedure),待覆核,ng/mL,進階
癌症標記,卵巢癌指標 CA-125,Cancer Antigen 125,10334-1,{83082-8},50610001,Cancer antigen 125 measurement (procedure),待覆核,U/mL,進階
癌症標記,癌胚抗原 CEA,Carcinoembryonic Antigen,2039-6,{83085-1},60267001,Carcinoembryonic antigen measurement (procedure),待覆核,ng/mL,進階
肝炎病毒,B型肝炎表面抗原 HBsAg,Hepatitis B Surface Antigen,5196-1,{5195-3;63557-3},39082004,Hepatitis B surface antigen measurement (procedure),待覆核,,成健
肝炎病毒,C型肝炎抗體 anti-HCV,Hepatitis C Antibody,13955-0,{16128-1},32218006,Hepatitis C antibody measurement (procedure),待覆核,,成健
尿液,尿蛋白 (試紙定性),Urine Protein (dipstick),5804-0,{57735-3},167273002,Protein in urine (finding),待覆核,,附表九/成健
生理測量,身體質量指數 BMI,Body Mass Index,39156-5,,60621009,Body mass index (observable entity),待覆核,kg/m2,成健
生理測量,腰圍,Waist Circumference,8280-0,{8281-8;56086-2;56114-2;56115-9},276361009,,待覆核,cm,附表九/成健
生理測量,腰臀比 WHR,Waist-to-hip ratio,(-確定無合適碼),,248362002,Waist-hip ratio (observable entity),待覆核,{ratio},成健
生理測量,血壓 Panel,Blood Pressure Panel,85354-9,,75367002,Blood pressure (observable entity),待覆核,,成健
肺功能,用力呼氣肺活量 FVC,Forced Vital Capacity,19868-9,{19876-2;19870-5},50834005,Forced vital capacity (observable entity),待覆核,L,職業
肺功能,第一秒呼氣量 FEV1,Forced Expiratory Volume 1s,20150-9,,59328004,Forced expiratory volume in 1 second (observable entity),待覆核,L,職業
視力,視力檢查 Panel,Vision Test Panel,98497-1,,363983007,Visual acuity (observable entity),待覆核,,職業
聽力,純音聽力 Panel,Pure Tone Audiometry Panel,89015-2,,406081008,Pure tone audiometry (procedure),待覆核,dB,職業
